Model,Family,AUC lo,AUC hi,AUC,AUC SD,F1,F1 SD,Recall,Recall SD,Precision,Precision SD,Specificity,Specificity SD,Accuracy,Accuracy SD,Balanced accuracy,Balanced accuracy SD,MCC,MCC SD,Brier,Brier SD,Row AUC,Row AUC SD
RF (original),original,0.672539163343629,0.7947092239846859,0.7299645505752376,0.015163040569001566,0.632619138948253,0.008453986930957903,0.6353276353276353,0.013055771210700413,0.6301169590643275,0.01216528892556414,0.6666666666666666,0.019210774644454864,0.6518817204301075,0.009312101115961698,0.6509971509971509,0.008972539925162129,0.30195400363601577,0.01814414565154065,0.20524463557260297,0.005237599411312933,0.9043745064237888,0.007703083423756793
RF (improved),improved,0.6675179141588373,0.7895409411314366,0.7216458972184162,0.01989752706803842,0.6961250510520095,0.0011563103822048986,0.9202279202279202,0.02467308842690706,0.5600598858383962,0.009264326805185774,0.3536895674300255,0.04204252326172597,0.6209677419354839,0.010668352060744308,0.6369587438289729,0.00880716024570209,0.3287209511485833,0.004092666275374875,0.20983799005733883,0.008345039036981906,0.8918813307070725,0.012395754252893654
Extra Trees,new,0.6592034406368382,0.7835256619810396,0.7171766599247515,0.018729112956409465,0.6996460515495881,0.00572093843097119,0.9458689458689459,0.017792017089454125,0.5551788381268293,0.0021080512791750603,0.3231552162849873,0.011660497951541574,0.6169354838709679,0.0040322580645161255,0.6345120810769665,0.004549866965623773,0.3387025183305825,0.019420665240224993,0.21409835047865966,0.008154996585535238,0.8904698691888603,0.010552247639680786
SVM (original),original,0.6491390501174128,0.7705636661147686,0.7051390791848807,0.02014870860180198,0.6450273292378556,0.031022522357322158,0.7094017094017094,0.04522651813785621,0.5922434624958494,0.03365729804426522,0.5623409669211196,0.056268051876580134,0.6317204301075269,0.03429395382304586,0.6358713381614146,0.03376051023135,0.274237587005177,0.06787001574883163,0.2366877966897336,0.005934503132458015,0.8702018758712805,0.016079862275744997
Soft-vote ensemble,ensemble,0.6435029927701789,0.7693369374486521,0.7033122376633827,0.013781441553404493,0.6807942405363216,0.011928922461327129,0.923076923076923,0.025641025641025605,0.5395824916832503,0.016586495720206745,0.2951653944020356,0.05929353790193917,0.5913978494623656,0.024305297473152028,0.6091211587394794,0.022472887059114835,0.27685221635031576,0.03955570083120538,0.21919908321022982,0.0038852199597953696,0.8707611342086853,0.009343143982959979
kNN (Hamming),new,0.6490519589956089,0.7756510495358246,0.7011265522715905,0.009510710066973098,0.6818344316968422,0.013143551316611657,0.8945868945868947,0.03235845211282209,0.5511184330279807,0.013448146238682119,0.3486005089058524,0.04340641758074294,0.6061827956989247,0.01818245868073746,0.6215937017463734,0.017414688883163033,0.2877863808228192,0.03851620415118773,0.24390403620612477,0.005844151750465547,0.8688923304786575,0.004555711695747209
SVM (improved),improved,0.6513895857127145,0.7761233028700321,0.6736151888823644,0.0366258068283899,0.6723415752450443,0.011573467637037246,0.8945868945868947,0.10124988970892798,0.5433719961894204,0.040628039515680885,0.3155216284987277,0.17678527931482693,0.5887096774193549,0.04838709677419356,0.6050542615428111,0.04108250848392457,0.263009890769839,0.0541455492407179,0.2328720909972536,0.015218308565538796,0.8168188238571822,0.04435426386186214
Gradient Boosting (categorical),new,0.621407434637771,0.7568311586476438,0.6712772666971141,0.026202920846242247,0.6631571057585898,0.004394891220474728,0.9002849002849002,0.009869235370762862,0.5249095748845867,0.002378952976374325,0.272264631043257,0.004407253963279593,0.5685483870967742,0.0040322580645161255,0.5862747656640787,0.004281631336243984,0.21930231588210633,0.012807190094078713,0.25280499029091075,0.002336704952510664,0.839044221355679,0.015151241350706718
Categorical NB,new,0.5902808805291442,0.7276914005896019,0.6613383788956309,0.0022642073508756847,0.6626259286809746,0.0034998155264149514,0.9259259259259259,0.0130557712107004,0.5160182591555141,0.0077714903280307395,0.22391857506361323,0.03442175383834269,0.5551075268817204,0.01231875186816091,0.5749222504947696,0.011015736075802474,0.20758242355763193,0.017407403089368608,0.25705717330476724,0.003415512829532733,0.7945084108971385,0.0022794367742275147
LR + interactions (elastic net),new,0.6026421474338695,0.7329300971891876,0.6526717557251908,0.013724166703601489,0.6549133781054207,0.0045206851171470394,0.8461538461538461,0.022613259068928148,0.5344411173780829,0.009921613827591715,0.34096692111959287,0.042042523261725986,0.5793010752688171,0.012961896184130304,0.5935603836367195,0.01137251144741917,0.2150718929375582,0.01893959190610445,0.2582397302169666,0.01043055716305527,0.8116615606175605,0.014608705495640861
