draw,rows,mode,patterns,auc
0,20,distinct,20,0.5756302521008403
0,20,duplicated,18,0.6460084033613445
0,40,distinct,40,0.6260504201680672
0,40,duplicated,34,0.5714285714285714
0,60,distinct,60,0.6523109243697479
0,60,duplicated,43,0.6113445378151261
0,80,distinct,80,0.6281512605042017
0,80,duplicated,52,0.6460084033613446
0,100,distinct,100,0.667016806722689
0,100,duplicated,72,0.6512605042016808
0,130,distinct,130,0.703781512605042
0,130,duplicated,79,0.6659663865546219
0,160,distinct,160,0.6890756302521008
0,160,duplicated,94,0.6554621848739496
0,186,distinct,186,0.6796218487394958
0,186,duplicated,99,0.6733193277310925
1,20,distinct,20,0.5651260504201681
1,20,duplicated,15,0.5157563025210083
1,40,distinct,40,0.5336134453781513
1,40,duplicated,33,0.5997899159663865
1,60,distinct,60,0.5871848739495799
1,60,duplicated,49,0.5462184873949579
1,80,distinct,80,0.7352941176470588
1,80,duplicated,51,0.6418067226890757
1,100,distinct,100,0.6932773109243697
1,100,duplicated,66,0.5892857142857143
1,130,distinct,130,0.6386554621848739
1,130,duplicated,79,0.6911764705882353
1,160,distinct,160,0.740546218487395
1,160,duplicated,99,0.6523109243697479
1,186,distinct,186,0.7111344537815126
1,186,duplicated,108,0.5766806722689076
2,20,distinct,20,0.5409663865546219
2,20,duplicated,18,0.5535714285714286
2,40,distinct,40,0.5472689075630252
2,40,duplicated,30,0.6071428571428572
2,60,distinct,60,0.6407563025210083
2,60,duplicated,43,0.5735294117647058
2,80,distinct,80,0.6974789915966386
2,80,duplicated,52,0.6144957983193278
2,100,distinct,100,0.6523109243697478
2,100,duplicated,71,0.6754201680672268
2,130,distinct,130,0.6964285714285714
2,130,duplicated,80,0.6376050420168067
2,160,distinct,160,0.7668067226890757
2,160,duplicated,96,0.6890756302521008
2,186,distinct,186,0.7300420168067226
2,186,duplicated,102,0.6911764705882353
3,20,distinct,20,0.4920634920634921
3,20,duplicated,18,0.7386243386243385
3,40,distinct,40,0.5862433862433862
3,40,duplicated,33,0.6973544973544974
3,60,distinct,60,0.7407407407407407
3,60,duplicated,38,0.7544973544973544
3,80,distinct,80,0.4804232804232804
3,80,duplicated,56,0.7015873015873015
3,100,distinct,100,0.6
3,100,duplicated,70,0.7365079365079366
3,130,distinct,130,0.6825396825396826
3,130,duplicated,87,0.6888888888888889
3,160,distinct,160,0.653968253968254
3,160,duplicated,93,0.783068783068783
3,186,distinct,186,0.692063492063492
3,186,duplicated,99,0.6825396825396826
4,20,distinct,20,0.6348684210526316
4,20,duplicated,18,0.45833333333333337
4,40,distinct,40,0.5910087719298246
4,40,duplicated,35,0.6228070175438597
4,60,distinct,60,0.7017543859649122
4,60,duplicated,50,0.5942982456140351
4,80,distinct,80,0.6765350877192983
4,80,duplicated,55,0.7138157894736842
4,100,distinct,100,0.6721491228070176
4,100,duplicated,62,0.6776315789473685
4,130,distinct,130,0.6940789473684211
4,130,duplicated,84,0.7927631578947368
4,160,distinct,160,0.7017543859649122
4,160,duplicated,93,0.7554824561403508
4,186,distinct,186,0.6842105263157894
4,186,duplicated,108,0.7587719298245614
5,20,distinct,20,0.5363247863247863
5,20,duplicated,16,0.6185897435897435
5,40,distinct,40,0.5779914529914529
5,40,duplicated,31,0.5790598290598291
5,60,distinct,60,0.6698717948717948
5,60,duplicated,44,0.6677350427350428
5,80,distinct,80,0.5822649572649573
5,80,duplicated,52,0.6474358974358974
5,100,distinct,100,0.6613247863247863
5,100,duplicated,68,0.6944444444444444
5,130,distinct,130,0.704059829059829
5,130,duplicated,81,0.670940170940171
5,160,distinct,160,0.6773504273504273
5,160,duplicated,94,0.6623931623931624
5,186,distinct,186,0.716880341880342
5,186,duplicated,105,0.7072649572649573
6,20,distinct,20,0.48333333333333334
6,20,duplicated,20,0.5067708333333333
6,40,distinct,40,0.5364583333333333
6,40,duplicated,31,0.5499999999999999
6,60,distinct,60,0.5552083333333333
6,60,duplicated,50,0.5187499999999999
6,80,distinct,80,0.5614583333333334
6,80,duplicated,64,0.540625
6,100,distinct,100,0.5635416666666666
6,100,duplicated,70,0.5385416666666667
6,130,distinct,130,0.625
6,130,duplicated,91,0.5395833333333333
6,160,distinct,160,0.5666666666666667
6,160,duplicated,95,0.5718749999999999
6,186,distinct,186,0.6135416666666667
6,186,duplicated,103,0.6052083333333332
7,20,distinct,20,0.6548347613219094
7,20,duplicated,18,0.773561811505508
7,40,distinct,40,0.5826193390452876
7,40,duplicated,31,0.627906976744186
7,60,distinct,60,0.6878824969400243
7,60,duplicated,45,0.6474908200734394
7,80,distinct,80,0.6707466340269277
7,80,duplicated,58,0.6328029375764994
7,100,distinct,100,0.6572827417380661
7,100,duplicated,71,0.6585067319461444
7,130,distinct,130,0.7711138310893513
7,130,duplicated,75,0.6817625458996328
7,160,distinct,160,0.6940024479804161
7,160,duplicated,91,0.7074663402692778
7,186,distinct,186,0.7001223990208079
7,186,duplicated,101,0.6952264381884944
8,20,distinct,20,0.559375
8,20,duplicated,20,0.625
8,40,distinct,40,0.5645833333333333
8,40,duplicated,34,0.6479166666666667
8,60,distinct,60,0.6552083333333334
8,60,duplicated,49,0.7041666666666666
8,80,distinct,80,0.6885416666666666
8,80,duplicated,59,0.7041666666666667
8,100,distinct,100,0.684375
8,100,duplicated,71,0.7260416666666667
8,130,distinct,130,0.7166666666666667
8,130,duplicated,76,0.7052083333333333
8,160,distinct,160,0.6958333333333333
8,160,duplicated,94,0.7437500000000001
8,186,distinct,186,0.7572916666666666
8,186,duplicated,102,0.7447916666666667
9,20,distinct,20,0.5943181818181817
9,20,duplicated,17,0.7397727272727272
9,40,distinct,40,0.6840909090909091
