rep,Method,Accuracy,Cells
0,Marginal sampling,0.3688888888888889,225
0,Mode,0.4533333333333333,225
0,"KNN (Hamming, k=7)",0.5333333333333333,225
0,MICE (logistic),0.4666666666666667,225
0,MICE (random forest),0.49333333333333335,225
0,Iterative MCA (2 dims),0.48444444444444446,225
1,Marginal sampling,0.3756345177664975,197
1,Mode,0.41116751269035534,197
1,"KNN (Hamming, k=7)",0.4517766497461929,197
1,MICE (logistic),0.48223350253807107,197
1,MICE (random forest),0.5025380710659898,197
1,Iterative MCA (2 dims),0.4517766497461929,197
2,Marginal sampling,0.36771300448430494,223
2,Mode,0.452914798206278,223
2,"KNN (Hamming, k=7)",0.484304932735426,223
2,MICE (logistic),0.4663677130044843,223
2,MICE (random forest),0.4977578475336323,223
2,Iterative MCA (2 dims),0.4798206278026906,223
3,Marginal sampling,0.3522267206477733,247
3,Mode,0.41295546558704455,247
3,"KNN (Hamming, k=7)",0.5020242914979757,247
3,MICE (logistic),0.5020242914979757,247
3,MICE (random forest),0.48582995951417,247
3,Iterative MCA (2 dims),0.4534412955465587,247
4,Marginal sampling,0.30180180180180183,222
4,Mode,0.42342342342342343,222
4,"KNN (Hamming, k=7)",0.5405405405405406,222
4,MICE (logistic),0.49099099099099097,222
4,MICE (random forest),0.481981981981982,222
4,Iterative MCA (2 dims),0.4189189189189189,222
5,Marginal sampling,0.4189189189189189,222
5,Mode,0.40540540540540543,222
5,"KNN (Hamming, k=7)",0.46846846846846846,222
5,MICE (logistic),0.4774774774774775,222
5,MICE (random forest),0.527027027027027,222
5,Iterative MCA (2 dims),0.4864864864864865,222
6,Marginal sampling,0.3333333333333333,213
6,Mode,0.40375586854460094,213
6,"KNN (Hamming, k=7)",0.4694835680751174,213
6,MICE (logistic),0.49295774647887325,213
6,MICE (random forest),0.4507042253521127,213
6,Iterative MCA (2 dims),0.4272300469483568,213
7,Marginal sampling,0.3951219512195122,205
7,Mode,0.4634146341463415,205
7,"KNN (Hamming, k=7)",0.5219512195121951,205
7,MICE (logistic),0.5121951219512195,205
7,MICE (random forest),0.5609756097560976,205
7,Iterative MCA (2 dims),0.4585365853658537,205
8,Marginal sampling,0.3463414634146341,205
8,Mode,0.3853658536585366,205
8,"KNN (Hamming, k=7)",0.4878048780487805,205
8,MICE (logistic),0.44878048780487806,205
8,MICE (random forest),0.4975609756097561,205
8,Iterative MCA (2 dims),0.47804878048780486,205
9,Marginal sampling,0.3302752293577982,218
9,Mode,0.44036697247706424,218
9,"KNN (Hamming, k=7)",0.41743119266055045,218
9,MICE (logistic),0.47706422018348627,218
9,MICE (random forest),0.4908256880733945,218
9,Iterative MCA (2 dims),0.4908256880733945,218
10,Marginal sampling,0.32751091703056767,229
10,Mode,0.3624454148471616,229
10,"KNN (Hamming, k=7)",0.4847161572052402,229
10,MICE (logistic),0.4759825327510917,229
10,MICE (random forest),0.49344978165938863,229
10,Iterative MCA (2 dims),0.4410480349344978,229
11,Marginal sampling,0.3842364532019704,203
11,Mode,0.45320197044334976,203
11,"KNN (Hamming, k=7)",0.5024630541871922,203
11,MICE (logistic),0.46798029556650245,203
11,MICE (random forest),0.5221674876847291,203
11,Iterative MCA (2 dims),0.43842364532019706,203
12,Marginal sampling,0.3925233644859813,214
