rep,Method,Item,Accuracy
0,Marginal sampling,Age,0.2631578947368421
0,Marginal sampling,Feeling sad or Tearful,0.3181818181818182
0,Marginal sampling,Irritable towards baby & partner,0.30434782608695654
0,Marginal sampling,Trouble sleeping at night,0.3548387096774194
0,Marginal sampling,Problems concentrating or making decision,0.36666666666666664
0,Marginal sampling,Overeating or loss of appetite,0.6666666666666666
0,Marginal sampling,Feeling anxious,0.6111111111111112
0,Marginal sampling,Feeling of guilt,0.28
0,Marginal sampling,Problems of bonding with baby,0.047619047619047616
0,Mode,Age,0.21052631578947367
0,Mode,Feeling sad or Tearful,0.4090909090909091
0,Mode,Irritable towards baby & partner,0.34782608695652173
0,Mode,Trouble sleeping at night,0.4838709677419355
0,Mode,Problems concentrating or making decision,0.3
0,Mode,Overeating or loss of appetite,0.8333333333333334
0,Mode,Feeling anxious,0.8333333333333334
0,Mode,Feeling of guilt,0.16
0,Mode,Problems of bonding with baby,0.38095238095238093
0,"KNN (Hamming, k=7)",Age,0.15789473684210525
0,"KNN (Hamming, k=7)",Feeling sad or Tearful,0.5454545454545454
0,"KNN (Hamming, k=7)",Irritable towards baby & partner,0.391304347826087
0,"KNN (Hamming, k=7)",Trouble sleeping at night,0.6129032258064516
0,"KNN (Hamming, k=7)",Problems concentrating or making decision,0.3333333333333333
0,"KNN (Hamming, k=7)",Overeating or loss of appetite,0.7777777777777778
0,"KNN (Hamming, k=7)",Feeling anxious,0.75
0,"KNN (Hamming, k=7)",Feeling of guilt,0.52
0,"KNN (Hamming, k=7)",Problems of bonding with baby,0.6190476190476191
0,MICE (logistic),Age,0.15789473684210525
0,MICE (logistic),Feeling sad or Tearful,0.36363636363636365
0,MICE (logistic),Irritable towards baby & partner,0.391304347826087
0,MICE (logistic),Trouble sleeping at night,0.3225806451612903
0,MICE (logistic),Problems concentrating or making decision,0.36666666666666664
0,MICE (logistic),Overeating or loss of appetite,0.8333333333333334
0,MICE (logistic),Feeling anxious,0.8611111111111112
0,MICE (logistic),Feeling of guilt,0.4
0,MICE (logistic),Problems of bonding with baby,0.38095238095238093
0,MICE (random forest),Age,0.15789473684210525
0,MICE (random forest),Feeling sad or Tearful,0.4090909090909091
0,MICE (random forest),Irritable towards baby & partner,0.43478260869565216
0,MICE (random forest),Trouble sleeping at night,0.45161290322580644
0,MICE (random forest),Problems concentrating or making decision,0.4
0,MICE (random forest),Overeating or loss of appetite,0.7222222222222222
0,MICE (random forest),Feeling anxious,0.8333333333333334
0,MICE (random forest),Feeling of guilt,0.4
0,MICE (random forest),Problems of bonding with baby,0.47619047619047616
0,Iterative MCA (2 dims),Age,0.2631578947368421
0,Iterative MCA (2 dims),Feeling sad or Tearful,0.4090909090909091
0,Iterative MCA (2 dims),Irritable towards baby & partner,0.43478260869565216
0,Iterative MCA (2 dims),Trouble sleeping at night,0.5483870967741935
0,Iterative MCA (2 dims),Problems concentrating or making decision,0.4
0,Iterative MCA (2 dims),Overeating or loss of appetite,0.8333333333333334
0,Iterative MCA (2 dims),Feeling anxious,0.7777777777777778
0,Iterative MCA (2 dims),Feeling of guilt,0.2
0,Iterative MCA (2 dims),Problems of bonding with baby,0.38095238095238093
1,Marginal sampling,Age,0.18181818181818182
1,Marginal sampling,Feeling sad or Tearful,0.21428571428571427
1,Marginal sampling,Irritable towards baby & partner,0.38095238095238093
1,Marginal sampling,Trouble sleeping at night,0.3157894736842105
1,Marginal sampling,Problems concentrating or making decision,0.18181818181818182
1,Marginal sampling,Overeating or loss of appetite,0.75
1,Marginal sampling,Feeling anxious,0.6666666666666666
1,Marginal sampling,Feeling of guilt,0.2727272727272727
1,Marginal sampling,Problems of bonding with baby,0.5
1,Mode,Age,0.4090909090909091
1,Mode,Feeling sad or Tearful,0.32142857142857145
1,Mode,Irritable towards baby & partner,0.2857142857142857
1,Mode,Trouble sleeping at night,0.3684210526315789
1,Mode,Problems concentrating or making decision,0.2727272727272727
1,Mode,Overeating or loss of appetite,0.8
1,Mode,Feeling anxious,0.47619047619047616
1,Mode,Feeling of guilt,0.5909090909090909
1,Mode,Problems of bonding with baby,0.22727272727272727
1,"KNN (Hamming, k=7)",Age,0.045454545454545456
1,"KNN (Hamming, k=7)",Feeling sad or Tearful,0.5
1,"KNN (Hamming, k=7)",Irritable towards baby & partner,0.2857142857142857
