Item,Short,Level,Code,Rows,Row %,Patterns,Target rate,Rate lo,Rate hi,Pattern rate,Pattern lo,Pattern hi
Age,Age,25-30,0,130,11.13013698630137,35,0.46923076923076923,0.385560674118983,0.5546671773113645,0.6285714285714286,0.46336640488021064,0.7683439263110894
Age,Age,30-35,1,256,21.91780821917808,53,0.38671875,0.3291552116300667,0.44763187711938685,0.49056603773584906,0.36124029356039444,0.6211669574670219
Age,Age,35-40,2,285,24.40068493150685,64,0.4245614035087719,0.3685531405951003,0.48257633659932037,0.46875,0.3517578764404486,0.5892812499952487
Age,Age,40-45,3,285,24.40068493150685,54,0.41403508771929826,0.3583627006653994,0.4719941454398708,0.4074074074074074,0.2867801518924045,0.5403338975114846
Age,Age,45-50,4,212,18.15068493150685,42,0.2830188679245283,0.22666017186266735,0.3471013273108006,0.40476190476190477,0.27042647671209086,0.5550595447182258
Feeling sad or Tearful,Sad/tearful,No,0,414,35.445205479452056,88,0.6135265700483091,0.5657808431125596,0.6591847897971362,0.5909090909090909,0.4864789444675971,0.6877340483374065
Feeling sad or Tearful,Sad/tearful,Sometimes,1,320,27.397260273972602,57,0.203125,0.16268600494313645,0.25060740763881717,0.38596491228070173,0.2706253699552471,0.5157050355567709
Feeling sad or Tearful,Sad/tearful,Yes,2,434,37.157534246575345,103,0.3225806451612903,0.28032261931354713,0.3679520078575576,0.4174757281553398,0.32688581020320867,0.5140001368436345
Irritable towards baby & partner,Irritable,No,0,426,36.660929432013766,97,0.24647887323943662,0.20793997347806112,0.28954933421109685,0.35051546391752575,0.2629094857379734,0.4495107852612967
Irritable towards baby & partner,Irritable,Sometimes,1,299,25.731497418244405,58,0.31438127090301005,0.2643929711900352,0.36907878434156954,0.4827586206896552,0.35927974452990297,0.6083795657078658
Irritable towards baby & partner,Irritable,Yes,2,437,37.607573149741825,91,0.5949656750572082,0.548305208180403,0.6399710343520622,0.6043956043956044,0.5016642594838487,0.6986697711524965
Trouble sleeping at night,Sleep trouble,No,0,382,32.705479452054796,81,0.225130890052356,0.18610210806372093,0.2696330951906716,0.38271604938271603,0.28446372443216095,0.49158953246068393
Trouble sleeping at night,Sleep trouble,Two or more days a week,1,434,37.157534246575345,74,0.5230414746543779,0.47605394872878204,0.5696246711191264,0.5675675675675675,0.4541253909309131,0.6743406221006791
Trouble sleeping at night,Sleep trouble,Yes,2,352,30.136986301369863,93,0.4147727272727273,0.3644933833141412,0.4668922669302373,0.4731182795698925,0.3747376923069333,0.5736316035328711
Problems concentrating or making decision,Concentration,No,0,416,35.98615916955017,86,0.4495192307692308,0.4023951564012931,0.4975671150839527,0.4883720930232558,0.38550397038221695,0.59223462732753
Problems concentrating or making decision,Concentration,Often,1,406,35.121107266435985,66,0.14532019704433496,0.11436286807991244,0.1829266213228227,0.3484848484848485,0.24475707338560404,0.4688806439633685
Problems concentrating or making decision,Concentration,Yes,2,334,28.89273356401384,92,0.6197604790419161,0.5666153124531473,0.6701820505714181,0.5434782608695652,0.44199603441263413,0.6414750261706617
Overeating or loss of appetite,Appetite,No,0,899,76.96917808219177,177,0.39599555061179087,0.364533197446667,0.42834298371290747,0.4858757062146893,0.41332949041373757,0.559022003932696
Overeating or loss of appetite,Appetite,Yes,1,269,23.03082191780822,71,0.3828996282527881,0.32684538130685564,0.4422514133168381,0.43661971830985913,0.32745937963101784,0.5522866439708294
Feeling anxious,Anxious,No,0,318,27.226027397260275,94,0.4025157232704403,0.3500883030147549,0.45727034794894905,0.5,0.4009249494369979,0.599075050563002
Feeling anxious,Anxious,Yes,1,850,72.77397260273973,154,0.38941176470588235,0.3571981276023757,0.4226205179168868,0.45454545454545453,0.3779631387413068,0.5333403452578416
Feeling of guilt,Guilt,No,0,558,48.14495254529767,100,0.4731182795698925,0.4320168393980759,0.514587328039864,0.51,0.4134784047743415,0.6057816990761385
Feeling of guilt,Guilt,Maybe,1,394,33.994823123382226,70,0.17258883248730963,0.13848232644257477,0.21301837132256587,0.32857142857142857,0.22998711826717816,0.4449928388301762
Feeling of guilt,Guilt,Yes,2,207,17.860224331320104,75,0.5990338164251208,0.531050578729423,0.6634081998038456,0.56,0.44746569425928456,0.6666872402321515
Problems of bonding with baby,Bonding,No,0,446,38.18493150684932,86,0.46860986547085204,0.4227625255537355,0.5149933422895231,0.5813953488372093,0.47584264364729545,0.6799871723844758
Problems of bonding with baby,Bonding,Sometimes,1,399,34.16095890410959,82,0.2731829573934837,0.23177829102752867,0.31891359382249673,0.4146341463414634,0.3141639024666607,0.522745008830426
Problems of bonding with baby,Bonding,Yes,2,323,27.654109589041095,80,0.43653250773993807,0.3835045372714013,0.491052434668523,0.4125,0.31105686511513087,0.5219615887311697
