Term,OR,CI naive lo,CI naive hi,CI robust lo,CI robust hi,p naive,p robust,SE inflation,OR (patterns),p (patterns)
Intercept,0.8364893737176298,0.3805429917673033,1.838726471069472,0.16011925757413475,4.369958260757904,0.6568278652422923,0.8323730361722461,2.099116492564658,1.7716033512828366,0.40398249430823097
Age: 30-35 vs 25-30,0.6926548613786595,0.4053451431533545,1.1836104739263595,0.23451420578051183,2.0458068004653005,0.17916635105005885,0.5063226156921288,2.0213325217449793,0.504149015582461,0.16513824872386618
Age: 35-40 vs 25-30,0.6915204656674954,0.40773193703929006,1.1728307522569885,0.22459327895541575,2.1291846161252126,0.17115428417238965,0.5203173266582278,2.1287871156893168,0.3999201413788181,0.06067043403428258
Age: 40-45 vs 25-30,0.45933011795658896,0.26917523776253266,0.7838171111718116,0.1611419494024821,1.3093062237632584,0.0043267104400447265,0.1454747729626855,1.9600873258814442,0.27367439674711813,0.010405019592377872
Age: 45-50 vs 25-30,0.4688180458438386,0.26701662673801474,0.8231336107937743,0.15196118213206183,1.446358583324436,0.00834787702659332,0.18753126379292573,2.001389258762384,0.3507335242209298,0.04688950350501508
Sad/tearful: Sometimes vs No,0.31363238563589024,0.20354257919351137,0.4832663205379855,0.12371591783582575,0.7950898723492725,1.4679357392460652e-07,0.014562108281956426,2.1515935801136523,0.5342707210809774,0.10709393237300492
Sad/tearful: Yes vs No,0.5214092115133292,0.3452662893295972,0.7874141619178527,0.2148247693647978,1.26553174782787,0.0019593008944905864,0.1500263694200757,2.151070371481267,0.6940838500089406,0.2908186741155827
Irritable: Sometimes vs No,1.6557569343526748,1.064469788058923,2.5754897474884575,0.5831199770277535,4.7014870586854975,0.0252770280635377,0.3436293337201246,2.3623006459380362,1.7484485727413186,0.14162259353583864
Irritable: Yes vs No,4.864853219618112,3.247734043365058,7.287172081340429,2.1102451074923247,11.215188588472916,1.6725451559991635e-14,0.00020528595013625785,2.0670027914808564,3.177955967244739,0.0009940195822858067
Sleep trouble: Two or more days a week vs No,2.572866741312571,1.6544192057277274,4.001188601797326,1.0239558628532188,6.464774028547436,2.7336979636404766e-05,0.04439690936054221,2.086522638817003,1.8981934781594716,0.09115772246903688
Sleep trouble: Yes vs No,2.2652961007222685,1.4372123079753634,3.5704999153371277,0.8860125609150079,5.7917535826444855,0.00042772643618842145,0.08777022638414253,2.063141414412837,1.6264623780289067,0.19134067228328155
Concentration: Often vs No,0.20345033130096826,0.129902507690303,0.31863924755906453,0.07408956132869426,0.5586756968750327,3.490063577426514e-12,0.0020044952556088416,2.2515881087120184,0.665955422519744,0.29535509719931563
Concentration: Yes vs No,1.8578598649769342,1.2622210626519734,2.734579052769157,0.8452559750533511,4.083547918929826,0.0016853518858518718,0.12317763911262852,2.037346532547698,1.4659236895075969,0.2692930877512951
Appetite: Yes vs No,0.938458092734382,0.6292551996133766,1.3995968445866969,0.4024078598838451,2.1885844676912343,0.7554505365316225,0.8831173925452702,2.118512101757481,0.7333722788081712,0.35785672257732426
Anxious: Yes vs No,1.0198902258887765,0.6761494074780439,1.538381992736179,0.4154800486101212,2.5035524000324307,0.9251785631907772,0.9657132370296798,2.184760517811548,1.0487176307776824,0.8921733546341276
Guilt: Maybe vs No,0.25648385581538724,0.16957762956470437,0.38792833973910285,0.10796664106916438,0.6092990172009386,1.1513684736424305e-10,0.002054374408666824,2.0911979615140837,0.43630863887497956,0.02373422731068735
Guilt: Yes vs No,1.4884734791424596,0.9315919162182679,2.3782444432368433,0.5349435261160725,4.141658305870824,0.09619422507444811,0.446183206186745,2.1837816081826698,1.2586115571862653,0.5602993191536607
Bonding: Sometimes vs No,1.2457565934979937,0.8168175630169323,1.899946279940059,0.4719208070562169,3.288495584512035,0.30754393759298826,0.6572635317086892,2.2997565631921937,0.8022402817635627,0.5490024224904815
Bonding: Yes vs No,0.6799988731160854,0.44494738510041226,1.0392205526385903,0.26615629881807235,1.7373192725196878,0.07471883567477539,0.42033269768850046,2.2115769522972286,0.4752379124838441,0.040436320223136715
