,Age,Sad/tearful,Irritable,Sleep trouble,Concentration,Appetite,Anxious,Guilt,Bonding,TARGET
Age,1.0,-0.014857722425315818,0.0436887902204414,-0.10306890245017661,0.01575996858495909,-0.25732937094758734,0.0692569610603482,-0.06944756546399632,-0.029570244924140923,-0.1131003637881959
Sad/tearful,-0.014857722425315818,1.0,-0.3562181018735399,-0.1750626583148329,-0.01257064227727045,0.4574448799926551,-0.09765603843787533,0.2805125274442464,0.17049838188348965,-0.358449246779984
Irritable,0.0436887902204414,-0.3562181018735399,1.0,-0.03502744083309153,0.17601240416203667,-0.18183382691292102,-0.009458468069276861,-0.1709974222682837,-0.15492374241248083,0.4382366202214606
Sleep trouble,-0.10306890245017661,-0.1750626583148329,-0.03502744083309153,1.0,-0.14960925300087802,0.1308238113962687,-0.18928578729932094,0.10256245363281784,-0.3110005588668913,0.2263021266432379
Concentration,0.01575996858495909,-0.01257064227727045,0.17601240416203667,-0.14960925300087802,1.0,0.1431754230443239,0.15914922620139624,-0.09328161906655116,0.3819533115245141,0.16236973847322717
Appetite,-0.25732937094758734,0.4574448799926551,-0.18183382691292102,0.1308238113962687,0.1431754230443239,1.0,-0.33444288607570594,0.26780629086175234,0.03517960070004169,-0.02326868896834315
Anxious,0.0692569610603482,-0.09765603843787533,-0.009458468069276861,-0.18928578729932094,0.15914922620139624,-0.33444288607570594,1.0,-0.6885401657926572,0.30571284622943906,-0.01664287607653822
Guilt,-0.06944756546399632,0.2805125274442464,-0.1709974222682837,0.10256245363281784,-0.09328161906655116,0.26780629086175234,-0.6885401657926572,1.0,-0.013069696122708242,-0.03296357332248826
Bonding,-0.029570244924140923,0.17049838188348965,-0.15492374241248083,-0.3110005588668913,0.3819533115245141,0.03517960070004169,0.30571284622943906,-0.013069696122708242,1.0,-0.058113108809405116
TARGET,-0.1131003637881959,-0.358449246779984,0.4382366202214606,0.2263021266432379,0.16236973847322717,-0.02326868896834315,-0.01664287607653822,-0.03296357332248826,-0.058113108809405116,1.0
