,Age,Sad/tearful,Irritable,Sleep trouble,Concentration,Appetite,Anxious,Guilt,Bonding,TARGET
Age,,0.009283849490457288,0.014279109153930067,0.016406691919931223,0.006859795212878436,0.012513521407313178,0.0017583011170363057,0.012107243185640422,0.010510905050715702,0.004477945419159886
Sad/tearful,0.013413441217188274,,0.06123049619307696,0.06054677934380151,0.012417401021018081,0.04951362595715611,0.011113467680442695,0.08117168964950734,0.09176777111956859,0.05798617729464635
Irritable,0.020741547079174635,0.061554862688077736,,0.055565778515514225,0.022621472749442165,0.006163812888632518,0.04144683501305691,0.015942018215436178,0.08652172842672387,0.04937427803315898
Sleep trouble,0.023604114426383816,0.06029004605777773,0.055080520098694345,,0.160069450142026,0.02701166057039129,0.0076796753750475386,0.02389183177490229,0.06146893444763691,0.0318688819831599
Concentration,0.009887049387216126,0.012384244711351076,0.0224452697762327,0.1601427232902533,,0.004891740146343296,0.03447579058042593,0.03355409878665601,0.05884918379023307,0.07871854568010048
Appetite,0.036525121775451794,0.10002872746668681,0.012431132103764533,0.0548020402287771,0.009921420296821332,,0.03328393602092119,0.0666027160096149,0.007589201792599822,0.00016176937708605157
Anxious,0.004730356702845544,0.020693698174610566,0.07662350976305805,0.014360739794542794,0.064116997869419,0.03067772752407014,,0.22278336573500895,0.06786118199161129,8.174547649989982e-05
Guilt,0.01859546334238408,0.08627840442912074,0.016856305720994762,0.025484709420924723,0.035739020707571324,0.03495593499377451,0.12753606511585958,,0.013778402254724164,0.05960354249592923
Bonding,0.015189255298994574,0.09178557502645816,0.08609277740232027,0.06174266419640063,0.0591014334368227,0.00375733863146273,0.03645164648249664,0.012975652074455293,,0.015312791759794416
TARGET,0.010514980491902927,0.09424146644529946,0.07975585092280957,0.052015145213898696,0.1284726928682034,0.00013014091536980662,7.134980103209594e-05,0.09116960188460572,0.02488213736379015,
