,Age,Sad/tearful,Irritable,Sleep trouble,Concentration,Appetite,Anxious,Guilt,Bonding,TARGET
Age,,0.10486158084381549,0.13416124783682112,0.15226665938016246,0.08354461158322027,0.18590810633534796,0.045368172094817236,0.12350967759623838,0.11086509357036062,0.10160402894685848
Sad/tearful,0.1048615808438155,,0.2540507129362711,0.24396488068627578,0.10713389432332884,0.33019819180121607,0.1509808703835865,0.28097318949474354,0.30619731643410275,0.35040360201494924
Irritable,0.13416124783682112,0.2540507129362711,,0.23278249722207542,0.15312784961780315,0.1076837212160351,0.3073161551402094,0.12393989978087075,0.29962307973846525,0.3238401709646693
Sleep trouble,0.15226665938016243,0.2439648806862758,0.23278249722207542,,0.38462863233865535,0.23385907916123724,0.12141221443140449,0.15820184984750144,0.248325536696021,0.2563274397120025
Concentration,0.08354461158322027,0.10713389432332884,0.15312784961780315,0.38462863233865535,,0.09300873924473037,0.262442497340195,0.17856368003923573,0.25656160603483946,0.3988306277213838
Appetite,0.185908106335348,0.33019819180121607,0.10768372121603512,0.23385907916123724,0.09300873924473037,,0.19323088817562095,0.27939274467035424,0.08149101142216185,0.0
Anxious,0.04536817209481725,0.1509808703835865,0.3073161551402094,0.12141221443140449,0.262442497340195,0.19323088817562095,,0.5075609221594736,0.27804417850718166,0.0
Guilt,0.1235096775962384,0.2809731894947436,0.12393989978087075,0.15820184984750144,0.17856368003923573,0.27939274467035424,0.5075609221594736,,0.1094372044771996,0.33657460617342055
Bonding,0.11086509357036062,0.30619731643410275,0.2996230797384652,0.248325536696021,0.25656160603483946,0.08149101142216185,0.27804417850718166,0.1094372044771996,,0.17557668030720672
TARGET,0.10160402894685848,0.35040360201494924,0.3238401709646693,0.2563274397120025,0.3988306277213838,0.0,0.0,0.33657460617342055,0.17557668030720672,
