,Age,Sad/tearful,Irritable,Sleep trouble,Concentration,Appetite,Anxious,Guilt,Bonding,TARGET
Age,,0.0,0.0,0.0479341837260981,0.0,0.18281373713824337,0.11427760523021392,0.0,0.0,0.06879061669141971
Sad/tearful,0.0,,0.13719334101241254,0.0809699745635902,0.0,0.1691385358821893,0.0,0.08608767649570191,0.10736987034405053,0.1546411287311685
Irritable,0.0,0.13719334101241254,,0.11155203297012678,0.08206320559206501,0.0,0.10404158022520221,0.0,0.11227634751902471,0.20345637787221174
Sleep trouble,0.04793418372609806,0.0809699745635902,0.11155203297012678,,0.18984233061308567,0.1350235362897615,0.0,0.0350113857971412,0.09104339665223168,0.11550792916823456
Concentration,0.0,0.0,0.08206320559206501,0.18984233061308572,,0.0,0.1866672531701907,0.07152428026141776,0.15586692717819406,0.1284786729935108
Appetite,0.18281373713824337,0.16913853588218924,0.0,0.1350235362897615,0.0,,0.17460129709052083,0.1873486324799375,0.0,0.0
Anxious,0.11427760523021392,0.0,0.10404158022520221,0.0,0.1866672531701907,0.17460129709052083,,0.5006726907403788,0.17660923008566182,0.0
Guilt,0.0,0.08608767649570191,0.0,0.03501138579714117,0.07152428026141774,0.18734863247993747,0.5006726907403788,,0.10585730532816862,0.16539989378392397
Bonding,0.0,0.10736987034405053,0.11227634751902471,0.09104339665223168,0.15586692717819403,0.0,0.17660923008566182,0.10585730532816862,,0.13257338799387672
TARGET,0.06879061669141971,0.1546411287311685,0.20345637787221174,0.11550792916823456,0.1284786729935108,0.0,0.0,0.16539989378392397,0.13257338799387672,
